fname,dialogue,summary
test_0,"#Person1#: Ms. Dawson, I need you to take a dictation for me.
#Person2#: Yes, sir...
#Person1#: This should go out as an intra-office memorandum to all employees by this afternoon. Are you ready?
#Person2#: Yes, sir. Go ahead.
#Person1#: Attention all staff... Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.
#Person2#: Sir, does this apply to intra-office communications only? Or will it also restrict external communications?
#Person1#: It should apply to all communications, not only in this office between employees, but also any outside communications.
#Person2#: But sir, many employees use Instant Messaging to communicate with their clients.
#Person1#: They will just have to change their communication methods. I don't want any - one using Instant Messaging in this office. It wastes too much time! Now, please continue with the memo. Where were we?
#Person2#: This applies to internal and external communications.
#Person1#: Yes. Any employee who persists in using Instant Messaging will first receive a warning and be placed on probation. At second offense, the employee will face termination. Any questions regarding this new policy may be directed to department heads.
#Person2#: Is that all?
#Person1#: Yes. Please get this memo typed up and distributed to all employees before 4 pm.","## Intra-Office Memorandum

**To**: All Employees

**From**: [Your Name]

**Date**: October 26, 2023

**Subject**: New Policy Regarding Instant Messaging

Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.

**Scope**: This policy applies to all communications within the organization, including communications between employees and external parties.

**Reason for Policy**: This policy is being implemented to ensure efficient and professional communication within the organization. Instant Messaging can be disruptive and distracting, and it can also lead to misunderstandings and miscommunications.

**Enforcement**: Any employee who violates this policy will be subject to disciplinary action, up to and including termination of employment.

**Questions**: Any questions regarding this policy should be directed to your department head.

**Please note**: This is a sample memorandum based on the information provided in the conversation. You may need to modify it to fit the specific needs of your organization. 
"
test_1,"#Person1#: You're finally here! What took so long?
#Person2#: I got stuck in traffic again. There was a terrible traffic jam near the Carrefour intersection.
#Person1#: It's always rather congested down there during rush hour. Maybe you should try to find a different route to get home.
#Person2#: I don't think it can be avoided, to be honest.
#Person1#: perhaps it would be better if you started taking public transport system to work.
#Person2#: I think it's something that I'll have to consider. The public transport system is pretty good.
#Person1#: It would be better for the environment, too.
#Person2#: I know. I feel bad about how much my car is adding to the pollution problem in this city.
#Person1#: Taking the subway would be a lot less stressful than driving as well.
#Person2#: The only problem is that I'm going to really miss having the freedom that you have with a car.
#Person1#: Well, when it's nicer outside, you can start biking to work. That will give you just as much freedom as your car usually provides.
#Person2#: That's true. I could certainly use the exercise!
#Person1#: So, are you going to quit driving to work then?
#Person2#: Yes, it's not good for me or for the environment.","This is a good example of a conversation between two people who are discussing the possibility of giving up driving to work in favor of using public transport or cycling. The first person is trying to persuade the second person to change their habits, while the second person is expressing their concerns about doing so.

Ultimately, the second person decides to give up driving to work, which is a positive outcome for both the environment and their own well-being."
test_2,"#Person1#: Kate, you never believe what's happened.
#Person2#: What do you mean?
#Person1#: Masha and Hero are getting divorced.
#Person2#: You are kidding. What happened?
#Person1#: Well, I don't really know, but I heard that they are having a separation for 2 months, and filed for divorce.
#Person2#: That's really surprising. I always thought they are well matched. What about the kids? Who get custody?
#Person1#: Masha, it seems quiet and makable, no quarrelling about who get the house and stock and then contesting the divorce with other details worked out.
#Person2#: That's the change from all the back stepping we usually hear about. Well, I still can't believe it, Masha and Hero, the perfect couple. When would they divorce be final?
#Person1#: Early in the New Year I guess.","The excerpt you have provided is a conversation about the divorce of Masha and Hero, a couple who were known to be a perfect match. The conversation reveals that:

* Masha and Hero have been separated for 2 months.
* They have filed for divorce.
* They are not fighting over custody of their children.
* They are working out the details of their divorce amicably.
* Their divorce will be final in early 2024."
test_3,"#Person1#: Happy Birthday, this is for you, Brian.
#Person2#: I'm so happy you remember, please come in and enjoy the party. Everyone's here, I'm sure you have a good time.
#Person1#: Brian, may I have a pleasure to have a dance with you?
#Person2#: Ok.
#Person1#: This is really wonderful party.
#Person2#: Yes, you are always popular with everyone. and you look very pretty today.
#Person1#: Thanks, that's very kind of you to say. I hope my necklace goes with my dress, and they both make me look good I feel.
#Person2#: You look great, you are absolutely glowing.
#Person1#: Thanks, this is a fine party. We should have a drink together to celebrate your birthday","#Person 2#: Thank you so much for this lovely gift! Come on in and join the festivities, we’re all so happy you could make it!
#Person 1#: Oh, thank you! You have such a lovely home!
#Person 2#: I’m so glad you like it. It's so great to see you. Let’s get you some champagne.
#Person 1#: This party is amazing! It's so great to see 
everyone, and you look amazing. 
#Person 2#: You look beautiful as always! I love your outfit! 
#Person 1#: Aw thanks.
#Person 2#: Cheers! 

"
test_4,"#Person1#: This Olympic park is so big!
#Person2#: Yes. Now we are in the Olympic stadium, the center of this park.
#Person1#: Splendid! When is it gonna be finished?
#Person2#: The whole stadium is to be finished this June.
#Person1#: How many seats are there in the stand?
#Person2#: Oh, there are 5000 seats in total.
#Person1#: I didn ' t know it would be so big!
#Person2#: It is! Look there, those are the tracks. And the jumping pit is over there.
#Person1#: Ah... I see. Hey, look the sign here, No climbing.
#Person2#: We put many signs with English translations for foreign visitors.","The Olympic park is a large park with many attractions. The Olympic stadium is the centerpiece of the park and is scheduled to be completed in June 2024. It will have 5,000 seats and is designed for a variety of sporting events. The park also has tracks and jumping pits, and there are signs in English to help visitors."
test_5,"#Person1#: I've had it! I am done working for a company that is taking me nowhere!
#Person2#: So what are you gonna do? Just quit?
#Person1#: That's exactly what I am going to do! I have decided to create my own company! I am going to write up a business plan, get some investors and start working for myself!
#Person2#: Have you ever written up a business plan before?
#Person1#: Well, no, it can't be that hard! I mean, all you have to do is explain your business, how you are going to do things and that's it, right?
#Person2#: You couldn't be more wrong! A well written business plan will include an executive summary which highlights the idea of the business in two pages or less. Then you need to describe your company with information such as what type of legal structure it has, history, etc.
#Person1#: Well, that seems easy enough.
#Person2#: Wait, there is more! Then you need to introduce and describe your goods or services. What they are and how they are different from competitors? Then comes the hard part, a market analysis. You need to investigate and analyze hundreds of variables! You need to take into consideration socioeconomic factors from GDP per capita to how many children on average the population has! All this information is useful so that you can move on to your strategy and implementation stage, where you will describe in detail how you will actually execute your idea.
#Person1#: Geez. Is that all?
#Person2#: Almost, the most important piece of information for your investors will be the financial analysis. Here you will calculate and estimate sales, cash flow and profits. After all, people will want to know when they will begin to see a return on their investment!
#Person1#: Umm. I think I ' ll just stick to my old job and save myself all the hassle of trying to start up a business!","#Person3#: Are you sure about that? I mean, if you want to make a change, why not give it your best shot?
#Person1#: My head tells me that you're right, but I also realize that writing up a business plan is no easy  task! 
#Person3#: You're right, it won't be easy, but there are several websites that can help you get started such as:
*   **LivePlan:** This website offers easy-to-use business plan templates and financial calculators. It has different subscription plan options for individuals and businesses.
*   **Enloop:** Enloop allows you to create and present business plans online while offering feedback in real time. It also provides educational content and allows you to ask questions from business experts.
*   **Planio:** The main selling point of this website is the ability to manage all your projects from one platform. Planio allows you to have an overview of budgets, schedules and to-do lists.  
*   **Bplans:** This website comes with over 500  sample business plans that are written by industry experts, which  you can use as a guide. It also provides an online course about how to create a business plan.
*   **Palo Alto Software:** This website's business plan writing software is designed to be user friendly and affordable.  Its business plan templates cater to a variety of industries and stages of development.

#Person1#: Wow! Those are some very interesting websites. Maybe I will give this business plan a try after all!"
test_6,"#Person1#: What's wrong with you? Why are you scratching so much?
#Person2#: I feel itchy! I can't stand it anymore! I think I may be coming down with something. I feel lightheaded and weak.
#Person1#: Let me have a look. Whoa! Get away from me!
#Person2#: What's wrong?
#Person1#: I think you have chicken pox! You are contagious! Get away! Don't breathe on me!
#Person2#: Maybe it's just a rash or an allergy! We can't be sure until I see a doctor.
#Person1#: Well in the meantime you are a biohazard! I didn't get it when I was a kid and I've heard that you can even die if you get it as an adult!
#Person2#: Are you serious? You always blow things out of proportion. In any case, I think I'll go take an oatmeal bath.","## Person 2 decides to take an oatmeal bath after feeling itchy, weak, and lightheaded.

Person 2 suspects they may be coming down with something and is experiencing symptoms like itchiness, weakness, and lightheadedness. Person 1, after examining Person 2, suspects they have chickenpox and advises them to stay away to avoid spreading the disease. Person 2 is unsure and chooses to take an oatmeal bath in the meantime. 

Here's a breakdown of the situation:

* **Person 1:** Worried about the possibility of Person 2 having chickenpox and contracting it themselves. 
* **Person 2:** Feeling unwell and considering different possibilities, including chickenpox.

Here are some possible next steps:

* **Person 2:**
    * Consult a doctor to confirm the diagnosis and get proper treatment.
    * Continue monitoring their symptoms and adjust their actions accordingly.
* **Person 1:**
    * Maintain a distance from Person 2 to minimize the risk of infection.
    * Consider seeking information about chickenpox to understand its symptoms and transmission better.

It's important for both individuals to stay calm, gather more information about the situation, and take appropriate actions based on medical advice and reliable sources."
test_7,"#Person1#: Good coming. What can I do for you?
#Person2#: I'm in Room 309. I'm checking out today. Can I have my bill now?
#Person1#: Certainly. Please wait a moment. Here you are.
#Person2#: Thanks. Wait... What's this? The 30 dollar for?
#Person1#: Excuse me... The charge for your laundry service on Nov. 20th.
#Person2#: But I did't take any laundry service during my stay here. I think you have added someone else's.
#Person1#: Ummmm...Sorry, would you mind waiting a moment? We check it with the department concerned.
#Person2#: No. As long as we get this straightened out.
#Person1#: I'm very sorry. There has been a mistake. We'll correct the bill. Please take a look.
#Person2#: Okay, here you are.
#Person1#: Goodbye.","Based on the conversation, I believe #Person2# is checking out of a hotel. #Person2# noticed a $30 charge for laundry service that they did not use. #Person1# initially insisted that the charge was correct but then apologized and corrected the bill after verifying with the laundry department. #Person2# then paid the corrected bill and left the hotel. 

Is there anything else I can help you with?"
test_8,"#Person1#: Steven, I need badly your help.
#Person2#: What's the matter?
#Person1#: My wife has found that I have an affair with my secretary, and now she is going to divorce me.
#Person2#: How could you cheat on your wife? You have been married for ten years.
#Person1#: Yes, I know I'm wrong. But I swear that the affair lasts only for two months. And I still love my wife. I couldn't live without her.
#Person2#: I will try my best to persuade her to reconsider the divorce. But are you sure that from now on you will be faithful to her forever?
#Person1#: Yes, I swear.","## Person 3:

I understand the difficult situation you are in, Steven. Cheating is never the right choice, and I can see that you deeply regret your actions. It's admirable that you want to fight for your marriage and prove your loyalty to your wife.

However, regaining her trust will be a challenging process. It will require time, patience, and unwavering commitment. You need to demonstrate genuine remorse, explain your reasons for the affair, and reassure your wife that it will never happen again. 

Here are some steps you can take:

**1. Take responsibility:** Acknowledge your mistake and avoid making excuses. Express your sincere apology to your wife and explain how your actions have hurt her.

**2. Be transparent:** Be open and honest with your wife about the affair. Answer her questions honestly and avoid withholding any information.

**3. Show remorse:** Express your deep regret for the pain you caused and demonstrate your genuine desire to make things right.

**4. Explain your reasons:** Without blaming anyone else, try to explain the factors that led you to the affair. This could help your wife understand the situation better.

**5. Reassure your wife:** Make a clear and firm commitment to never betray her trust again. Explain how you will prevent such a situation from happening in the future.

**6. Seek professional help:** Consider individual or couples therapy to help you both navigate through this difficult time. A therapist can provide guidance and support to rebuild trust and communication.

**7. Give your wife time:** Don't pressure your wife to make a decision immediately. Allow her the time and space she needs to process everything and make an informed choice.

Remember, regaining trust is a long-term process. Be patient, persistent, and show your wife through your actions that you are committed to making things right and building a stronger future together.

It's important to remember that I am not a licensed therapist and cannot offer professional advice. If you need further support, please reach out to a qualified professional. 
"
test_9,"#Person1#: Who stands out in your mind as a man or woman of sound character?
#Person2#: If I think of famous people, I think of Abraham Lincoln.
#Person1#: He's the US president, who walked five miles just to give a lady her change, isn't he?
#Person2#: That's the one. He also was famous for never giving up on his goals.
#Person1#: That's right. He ran for office quite a few times before he was finally elected.
#Person2#: And I also admire him for his courage in fighting for equal rights.
#Person1#: He had great vision, didn't he?
#Person2#: And humility. I would have liked to meet him personally.","#Person2#: That's interesting. I wouldn't have associated Lincoln with those traits, but that makes me like him even more. I always saw him as a strong, resolute leader.

#Person1#: But someone can be strong and have integrity, compassion, magnanimity, and resilience at the same time. Don't you think?

#Person2#: Of course. I guess I have a lot to learn about Abraham Lincoln. Do you know where I can read more about him? I don't remember learning much about him in school.

#Person1#: I found some interesting articles online about lesser-known facts about him. I can send you the links if you'd like. They talk about his sense of humor, his struggles with depression, and his love of poetry. 

#Person2#: Yes, please! I'd love to learn more about the man behind the president.
"
